# BEAST v1.8.0, r5971
# Generated Wed Jan 14 18:33:43 PST 2015 [seed=1421289222306]
state	posterior	A/Arizona/14/1978	A/Brazil/11/1978	A/Lackland/3/1978	A/USSR/90/1977	A/California/45/1978	A/Lackland/7/1978	A/Bayern/7/1995	A/Beijing/262/1995	A/Chile/1/1983	A/Denmark/56/2003	A/Egypt/96/2002	A/England/2/2002	A/HongKong/1252/2000	A/Johannesburg/5/2002	A/Johannesburg/82/1996	A/Latvia/686/2002	A/Madagascar/57794/2000	A/NewCaledonia/20/1999	A/Peru/1621/1999	A/Peru/1798/1999	A/RheinlandPfalz/34/2003	A/Singapore/6/1986	A/Stockholm/13/2002	A/StPetersburg/49/2003	A/Switzerland/3100/2002	A/Taiwan/1/1986	A/Texas/36/1991	A/Bangkok/1544/2004	A/Dakar/88/2003	A/Denmark/22/2005	A/Denmark/3/2005	A/Denmark/86/2003	A/Egypt/136/2005	A/Florida/4/2004	A/HongKong/35/2006	A/HongKong/4580/2004	A/HongKong/4596/2004	A/HongKong/4922/2005	A/HongKong/948/2006	A/Hungary/2/2003	A/Iceland/123/2003	A/Johannesburg/28/2005	A/Johannesburg/452/2005	A/Morocco/275/2004	A/Netherlands/128/2004	A/Poitiers/2168/2003	A/Reunion/1409/2003	A/Shenzhen/227/1995	A/Thessaloniki/24/2005	A/England/333/1980	A/India/6263/1980	A/Annecy/2013/2009	A/Berlin/59/2008	A/Brisbane/59/2007	A/Egypt/10/2007	A/Finland/4/2007	A/Fukushima/141/2006	A/Ghana/2/2008	A/Ghana/9/2008	A/Ghana/152/2008	A/Ghana/163/2008	A/Ghana/FS-09-718/2009	A/Ghana/FS-09-791/2009	A/Gyeonggibuk/4500/2008	A/HongKong/18106/2009	A/HongKong/1856/2008	A/HongKong/1870/2008	A/HongKong/1988/2009	A/HongKong/2652/2006	A/HongKong/3176/2008	A/HongKong/33597/2009	A/HongKong/34079/2009	A/Iceland/8064/2009	A/Iceland/8599/2009	A/Incheon/4532/2008	A/Madagascar/2121/2007	A/Madagascar/6054/2009	A/Madagascar/6081/2009	A/Marrakech/510/2009	A/Marseille/1148/2009	A/Mauritius/403/2008	A/Menya/1386/2009	A/Minsk/179/2008	A/Montpellier/2051/2009	A/Moscow/2/2009	A/Netherlands/345/2007	A/Paraguay/61/2009	A/Paris/577/2007	A/Paris/781/2008	A/Perth/200/2008	A/Rabat/109/2009	A/Seychelles/2239/2008	A/Singapore/10/2009	A/SolomonIslands/3/2006	A/SouthDakota/6/2007	A/StPetersburg/12/2008	A/StPetersburg/5/2008	A/Wisconsin/13/2009	A/Zagreb/1982/2008	A/Siena/10/1989	A/Siena/9/1989	A/HongKong/2387/2007	A/HongKong/2613/2007	A/Incheon/2647/2007	A/Johannesburg/141/2007	A/Johannesburg/67/2007	A/Mauritius/543/2007	A/Pennsylvania/1/2007	A/Peru/1169/2007	A/StPetersburg/10/2007	A/Texas/5/2007	A/Tula/5/2007	A/Ulaanbaatar/116/2007	A/Ulaanbaatar/2212/2007	A/USSR/92/1977
81800000	-4923.973141867062	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	2.0	2.0	2.0	1.0	1.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	6.0	4.0	4.0	5.0	4.0	5.0	6.0	6.0	7.0	5.0	5.0	2.0	6.0	6.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	2.0	4.0	4.0	0.0
82000000	-4958.402892314938	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	1.0	1.0	6.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	0.0	0.0	7.0	7.0	6.0	6.0	6.0	5.0	6.0	7.0	7.0	6.0	7.0	7.0	7.0	8.0	6.0	6.0	7.0	6.0	7.0	8.0	8.0	7.0	7.0	7.0	3.0	8.0	8.0	7.0	7.0	7.0	7.0	9.0	7.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	7.0	7.0	5.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	6.0	6.0	6.0	6.0	6.0	6.0	3.0	5.0	6.0	6.0	4.0	6.0	6.0	0.0
82200000	-4952.167197046781	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	6.0	2.0	4.0	4.0	2.0	2.0	4.0	2.0	4.0	4.0	6.0	4.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	1.0	4.0	0.0	0.0	9.0	8.0	6.0	6.0	6.0	5.0	6.0	8.0	8.0	6.0	8.0	8.0	8.0	10.0	6.0	6.0	8.0	6.0	8.0	10.0	10.0	8.0	8.0	8.0	2.0	10.0	10.0	8.0	8.0	8.0	8.0	6.0	8.0	8.0	6.0	8.0	6.0	8.0	6.0	8.0	8.0	8.0	5.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	7.0	6.0	6.0	6.0	6.0	6.0	2.0	5.0	6.0	6.0	2.0	6.0	6.0	0.0
82400000	-4941.019300741658	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	4.0	3.0	3.0	3.0	3.0	14.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	1.0	2.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	0.0	0.0	8.0	9.0	6.0	6.0	6.0	5.0	6.0	10.0	10.0	6.0	8.0	8.0	8.0	13.0	6.0	6.0	8.0	6.0	8.0	13.0	13.0	8.0	8.0	8.0	3.0	12.0	12.0	8.0	8.0	8.0	10.0	6.0	8.0	8.0	6.0	9.0	6.0	8.0	6.0	11.0	8.0	8.0	5.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	7.0	6.0	6.0	6.0	6.0	6.0	3.0	5.0	6.0	6.0	3.0	6.0	7.0	0.0
82600000	-4948.138495614377	0.0	0.0	0.0	15.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	13.0	13.0	2.0	1.0	2.0	4.0	2.0	1.0	1.0	5.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	10.0	10.0	5.0	5.0	5.0	5.0	5.0	10.0	10.0	5.0	10.0	10.0	10.0	11.0	6.0	6.0	10.0	5.0	10.0	12.0	11.0	10.0	10.0	10.0	2.0	11.0	11.0	10.0	10.0	10.0	10.0	5.0	10.0	10.0	5.0	10.0	9.0	10.0	5.0	10.0	10.0	10.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	6.0	6.0	6.0	7.0	5.0	5.0	2.0	5.0	5.0	5.0	2.0	8.0	6.0	14.0
82800000	-4949.484627274279	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	4.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	6.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	12.0	8.0	8.0	5.0	5.0	5.0	4.0	7.0	8.0	8.0	7.0	8.0	8.0	8.0	11.0	6.0	6.0	8.0	6.0	8.0	10.0	10.0	8.0	8.0	8.0	2.0	10.0	10.0	8.0	8.0	8.0	8.0	5.0	8.0	8.0	5.0	9.0	5.0	8.0	6.0	8.0	8.0	8.0	4.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	6.0	6.0	6.0	6.0	7.0	5.0	2.0	4.0	6.0	5.0	2.0	6.0	6.0	0.0
83000000	-4933.491636275165	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	3.0	3.0	4.0	3.0	4.0	5.0	5.0	6.0	4.0	4.0	2.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0
83200000	-4940.7408546092465	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	7.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	1.0	2.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	0.0	0.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	6.0	6.0	6.0	6.0	5.0	5.0	6.0	5.0	6.0	6.0	6.0	6.0	5.0	6.0	3.0	6.0	6.0	6.0	5.0	5.0	5.0	5.0	6.0	6.0	5.0	5.0	5.0	5.0	5.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	3.0	5.0	5.0	0.0
83400000	-4975.945369342406	0.0	0.0	0.0	0.0	11.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	3.0	1.0	1.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	1.0	2.0	0.0	0.0	7.0	7.0	5.0	5.0	5.0	5.0	5.0	7.0	7.0	5.0	7.0	7.0	7.0	9.0	5.0	5.0	7.0	5.0	7.0	8.0	8.0	7.0	7.0	7.0	2.0	8.0	8.0	7.0	7.0	7.0	7.0	5.0	7.0	7.0	5.0	7.0	5.0	7.0	5.0	7.0	7.0	7.0	5.0	5.0	5.0	5.0	10.0	5.0	1.0	1.0	6.0	6.0	6.0	6.0	5.0	5.0	2.0	5.0	5.0	5.0	2.0	6.0	6.0	12.0
83600000	-4912.47249999412	0.0	0.0	9.0	10.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	6.0	6.0	3.0	3.0	3.0	8.0	3.0	6.0	6.0	3.0	6.0	6.0	6.0	7.0	3.0	3.0	6.0	3.0	6.0	7.0	7.0	6.0	6.0	6.0	2.0	7.0	7.0	6.0	6.0	6.0	6.0	3.0	6.0	6.0	3.0	6.0	3.0	6.0	5.0	6.0	6.0	6.0	8.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	8.0	3.0	3.0	2.0	3.0	3.0	0.0
83800000	-4954.4186590888285	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	4.0	5.0	3.0	3.0	3.0	3.0	3.0	5.0	5.0	3.0	4.0	4.0	4.0	6.0	3.0	3.0	4.0	3.0	4.0	6.0	6.0	4.0	5.0	4.0	2.0	6.0	6.0	4.0	5.0	5.0	5.0	3.0	4.0	4.0	3.0	5.0	3.0	5.0	3.0	4.0	5.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0
84000000	-4927.086973651349	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	7.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	3.0	3.0	4.0	3.0	4.0	5.0	5.0	4.0	4.0	4.0	2.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	6.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0
84200000	-4960.50291277014	13.0	0.0	0.0	0.0	12.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	11.0	11.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	6.0	2.0	4.0	4.0	2.0	2.0	3.0	5.0	4.0	4.0	6.0	4.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	1.0	4.0	0.0	0.0	9.0	9.0	6.0	6.0	6.0	6.0	8.0	9.0	9.0	6.0	9.0	9.0	9.0	10.0	6.0	6.0	9.0	6.0	9.0	10.0	10.0	9.0	9.0	9.0	2.0	10.0	10.0	9.0	9.0	9.0	9.0	6.0	9.0	9.0	6.0	9.0	6.0	9.0	6.0	9.0	9.0	9.0	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	7.0	7.0	7.0	7.0	6.0	6.0	5.0	6.0	6.0	6.0	5.0	7.0	7.0	0.0
84400000	-4963.985622068319	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	4.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	1.0	1.0	7.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	0.0	0.0	11.0	11.0	10.0	6.0	6.0	6.0	9.0	13.0	13.0	6.0	11.0	11.0	11.0	14.0	6.0	6.0	11.0	6.0	11.0	14.0	14.0	11.0	11.0	11.0	3.0	14.0	14.0	11.0	11.0	11.0	11.0	6.0	11.0	11.0	6.0	11.0	6.0	11.0	6.0	11.0	11.0	12.0	6.0	6.0	15.0	15.0	15.0	6.0	1.0	1.0	6.0	6.0	6.0	6.0	6.0	6.0	3.0	6.0	8.0	6.0	3.0	6.0	6.0	0.0
84600000	-4961.484590647443	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	12.0	3.0	3.0	1.0	3.0	3.0	3.0	1.0	1.0	5.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	13.0	3.0	0.0	0.0	9.0	8.0	5.0	5.0	5.0	5.0	5.0	8.0	8.0	5.0	8.0	8.0	8.0	10.0	5.0	5.0	8.0	5.0	8.0	10.0	10.0	11.0	8.0	8.0	3.0	10.0	10.0	8.0	8.0	8.0	8.0	5.0	9.0	8.0	5.0	8.0	5.0	8.0	5.0	8.0	8.0	8.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	7.0	6.0	6.0	6.0	5.0	5.0	3.0	5.0	5.0	5.0	3.0	6.0	5.0	0.0
84800000	-4939.751785350575	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	3.0	3.0	4.0	3.0	4.0	5.0	5.0	4.0	4.0	4.0	2.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0
85000000	-4949.912480987543	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	4.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	11.0	11.0	3.0	1.0	3.0	3.0	3.0	1.0	1.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	0.0	0.0	7.0	7.0	5.0	5.0	5.0	5.0	5.0	7.0	7.0	5.0	7.0	7.0	7.0	9.0	5.0	5.0	7.0	5.0	7.0	8.0	8.0	7.0	7.0	7.0	3.0	8.0	8.0	7.0	7.0	7.0	7.0	5.0	7.0	7.0	5.0	7.0	5.0	7.0	5.0	7.0	7.0	7.0	5.0	7.0	7.0	10.0	7.0	5.0	1.0	1.0	5.0	5.0	5.0	6.0	5.0	5.0	3.0	5.0	5.0	5.0	3.0	5.0	5.0	0.0
85200000	-4952.448949107642	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	7.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	2.0	0.0	0.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	6.0	4.0	4.0	5.0	4.0	5.0	6.0	6.0	5.0	5.0	5.0	2.0	6.0	6.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	2.0	4.0	4.0	0.0
85400000	-4961.229498143602	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	10.0	10.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	8.0	7.0	3.0	3.0	3.0	3.0	3.0	7.0	7.0	3.0	8.0	8.0	7.0	9.0	3.0	3.0	8.0	3.0	7.0	9.0	9.0	8.0	7.0	8.0	2.0	9.0	9.0	8.0	7.0	7.0	7.0	3.0	8.0	8.0	3.0	7.0	3.0	7.0	3.0	8.0	7.0	7.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	6.0	5.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	6.0	0.0
85600000	-4975.840484777522	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	1.0	1.0	7.0	7.0	4.0	4.0	4.0	4.0	4.0	7.0	7.0	4.0	7.0	7.0	7.0	8.0	6.0	6.0	7.0	4.0	7.0	8.0	8.0	7.0	7.0	7.0	3.0	8.0	8.0	7.0	7.0	7.0	7.0	4.0	7.0	7.0	4.0	7.0	4.0	7.0	4.0	7.0	7.0	7.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	6.0	6.0	6.0	6.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	6.0	6.0	0.0
85800000	-4967.733915262705	1.0	1.0	1.0	0.0	1.0	1.0	20.0	5.0	1.0	7.0	6.0	6.0	6.0	6.0	20.0	6.0	5.0	5.0	5.0	5.0	6.0	3.0	6.0	6.0	8.0	3.0	20.0	11.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	11.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	9.0	6.0	20.0	6.0	1.0	2.0	14.0	14.0	11.0	11.0	11.0	11.0	11.0	14.0	14.0	11.0	14.0	14.0	14.0	16.0	12.0	12.0	14.0	13.0	14.0	17.0	16.0	19.0	14.0	14.0	6.0	18.0	16.0	14.0	14.0	14.0	14.0	11.0	14.0	14.0	11.0	15.0	11.0	14.0	11.0	14.0	14.0	14.0	11.0	11.0	11.0	11.0	11.0	11.0	3.0	3.0	12.0	12.0	12.0	12.0	11.0	11.0	6.0	11.0	11.0	11.0	10.0	12.0	12.0	0.0
86000000	-4958.933580084943	0.0	0.0	0.0	11.0	0.0	0.0	10.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	10.0	2.0	2.0	2.0	9.0	9.0	2.0	1.0	2.0	2.0	2.0	1.0	10.0	6.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0	6.0	2.0	2.0	3.0	4.0	4.0	2.0	2.0	2.0	2.0	10.0	2.0	0.0	0.0	7.0	7.0	6.0	6.0	6.0	6.0	6.0	7.0	7.0	6.0	7.0	7.0	7.0	8.0	6.0	6.0	7.0	6.0	7.0	8.0	8.0	7.0	7.0	7.0	2.0	8.0	8.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	7.0	7.0	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0	6.0	6.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0	6.0	5.0	6.0	6.0	0.0
86200000	-4949.7384452914175	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	6.0	5.0	3.0	3.0	3.0	3.0	3.0	5.0	5.0	3.0	6.0	6.0	5.0	7.0	3.0	3.0	6.0	3.0	5.0	7.0	7.0	5.0	5.0	5.0	2.0	7.0	8.0	6.0	5.0	5.0	5.0	3.0	6.0	5.0	3.0	5.0	3.0	5.0	3.0	5.0	5.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	4.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0
86400000	-4964.664793901442	17.0	0.0	0.0	0.0	0.0	17.0	2.0	3.0	0.0	3.0	3.0	3.0	3.0	3.0	16.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	1.0	2.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0	3.0	0.0	0.0	9.0	9.0	5.0	5.0	5.0	5.0	5.0	9.0	9.0	5.0	9.0	9.0	9.0	12.0	6.0	6.0	9.0	6.0	9.0	12.0	12.0	14.0	9.0	9.0	3.0	12.0	12.0	13.0	9.0	9.0	11.0	5.0	9.0	9.0	7.0	10.0	5.0	9.0	6.0	9.0	9.0	9.0	5.0	8.0	5.0	5.0	15.0	5.0	2.0	1.0	6.0	6.0	6.0	6.0	5.0	5.0	3.0	5.0	6.0	5.0	3.0	6.0	6.0	0.0
86600000	-4929.555522620742	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	3.0	3.0	4.0	3.0	4.0	5.0	5.0	4.0	4.0	4.0	2.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	0.0
86800000	-4952.869439809576	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	5.0	5.0	3.0	3.0	3.0	3.0	3.0	5.0	5.0	3.0	5.0	5.0	5.0	8.0	3.0	3.0	5.0	3.0	5.0	8.0	8.0	5.0	5.0	5.0	2.0	8.0	8.0	5.0	5.0	6.0	5.0	3.0	5.0	5.0	3.0	5.0	3.0	5.0	3.0	7.0	5.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	4.0	4.0	4.0	4.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	4.0	4.0	0.0
